name,rating,reviews,lat,lng,address,types,district,Import_Renda_Bruta_€,Seccio_Censal
El Nacional Barcelona,4.4,37529,41.390583,2.1683914,"Pg. de Gràcia, 24 Bis, L'Eixample, 08007 Barcelona, Spain","spanish_restaurant, restaurant, food, point_of_interest, establishment",,,
Cerveceria Catalana,4.4,22319,41.3923251,2.1608514999999997,"Carrer de Mallorca, 236, L'Eixample, 08008 Barcelona, Spain","spanish_restaurant, bar, restaurant, food, point_of_interest, establishment",,,
Vinitus,4.5,15132,41.3900261,2.1640484,"Carrer del Consell de Cent, 333, L'Eixample, 08007 Barcelona, Spain","mediterranean_restaurant, bar, restaurant, food, point_of_interest, establishment",,,
Ciutat Comtal,4.4,20560,41.3888535,2.1667706,"Rambla de Catalunya, 18, Eixample, 08007 Barcelona, Spain","spanish_restaurant, bar, restaurant, food, point_of_interest, establishment",,,
La Flauta | Aribau,4.5,11856,41.3868596,2.1610638,"Carrer d'Aribau, 23, L'Eixample, 08011 Barcelona, Spain","mediterranean_restaurant, spanish_restaurant, restaurant, food, point_of_interest, establishment",,,
Honest Greens Plaça Catalunya,4.5,10269,41.3876946,2.1680496,"Rambla de Catalunya, 3, Eixample, 08007 Barcelona, Spain","vegan_restaurant, fast_food_restaurant, vegetarian_restaurant, mediterranean_restaurant, restaurant, food, point_of_interest, establishment",,,
Colom Restaurant,4.7,26723,41.379852799999995,2.1765,"Carrer dels Escudellers, 33, Ciutat Vella, 08002 Barcelona, Spain","mediterranean_restaurant, seafood_restaurant, spanish_restaurant, restaurant, food, point_of_interest, establishment",,,
Paradiso,4.3,6620,41.3836774,2.1836913,"Carrer de Rera Palau, 4, Ciutat Vella, 08003 Barcelona, Spain","bar, sandwich_shop, restaurant, food, point_of_interest, establishment",,,
Hard Rock Cafè,4.4,24888,41.3858942,2.1707582999999997,"Pl. de Catalunya, 21, Ciutat Vella, 08002 Barcelona, Spain","american_restaurant, hamburger_restaurant, bar, restaurant, food, event_venue, point_of_interest, establishment",,,
Cañete,4.6,7019,41.37915280000001,2.173125,"Carrer de la Unió, 17, Ciutat Vella, 08001 Barcelona, Spain","restaurant, spanish_restaurant, bar, food, point_of_interest, establishment",,,
Honest Greens Tuset,4.4,5706,41.3953382,2.1529932,"Carrer de Tuset, 4, Sarrià-Sant Gervasi, 08006 Barcelona, Spain","vegan_restaurant, vegetarian_restaurant, mediterranean_restaurant, fast_food_restaurant, restaurant, food, point_of_interest, establishment",,,
La Pepita,4.5,6809,41.3979631,2.1610472,"Carrer de Còrsega, 343, Gràcia, 08037 Barcelona, Spain","restaurant, food, point_of_interest, establishment",,,
El Xampanyet,4.7,5568,41.3845391,2.181679,"Carrer de Montcada, 22, Ciutat Vella, 08003 Barcelona, Spain","bar, restaurant, food, point_of_interest, establishment",,,
La Selva Barcelona | Còrsega,4.7,9821,41.3922131,2.1532164,"Carrer de Còrsega, 235, L'Eixample, 08036 Barcelona, Spain","restaurant, food, point_of_interest, establishment",,,
McDonald's | Passeig de Gràcia,3.8,6801,41.3919,2.16582,"Pg. de Gràcia, 48, L'Eixample, 08007 Barcelona, Spain","fast_food_restaurant, restaurant, food, point_of_interest, establishment",,,
7 Portes,4.2,14179,41.3823052,2.1833902000000003,"Pg. d'Isabel II, 14, Ciutat Vella, 08003 Barcelona, Spain","mediterranean_restaurant, spanish_restaurant, restaurant, food, point_of_interest, establishment",,,
Billy Brunch,4.8,8441,41.3977203,2.1693751,"Carrer de Bailèn, 115, L'Eixample, 08009 Barcelona, Spain","breakfast_restaurant, brunch_restaurant, restaurant, food, point_of_interest, establishment",,,
"Mandarin Oriental, Barcelona",4.6,3506,41.3911676,2.1665772999999997,"Pg. de Gràcia, 38-40, L'Eixample, 08007 Barcelona, Spain","hotel, banquet_hall, mediterranean_restaurant, catering_service, spa, wedding_venue, lodging, food_delivery, restaurant, food, event_venue, point_of_interest, establishment",,,
