name,rating,reviews,lat,lng,address,types,neighbourhood,density,income,district
Billy Brunch,4.8,8470.0,41.3977203,2.1693751,"Carrer de Bailèn, 115, L'Eixample, 08009 Barcelona, Spain","breakfast_restaurant, brunch_restaurant, restaurant, point_of_interest, food, establishment",sants,394,18093.344827586207,sants-montjuic
"Mandarin Oriental, Barcelona",4.6,3507.0,41.3911676,2.1665773,"Pg. de Gràcia, 38-40, L'Eixample, 08007 Barcelona, Spain","hotel, banquet_hall, wedding_venue, mediterranean_restaurant, catering_service, food_delivery, spa, event_venue, lodging, restaurant, point_of_interest, food, establishment",les corts,322,23420.28571428572,les corts
Sartoria Panatieri,4.3,4280.0,41.39717460000001,2.1649178,"Carrer de Provença, 330, L'Eixample, 08037 Barcelona, Spain","pizza_restaurant, meal_delivery, meal_takeaway, food_delivery, food_store, restaurant, point_of_interest, food, store, establishment",la maternitat i sant ramon,123,20916.733333333337,les corts
La Flauta | Rambla de Catalunya,4.5,3260.0,41.3928668,2.1607347,"Rambla de Catalunya, 91, Eixample, 08008 Barcelona, Spain","restaurant, point_of_interest, food, establishment",pedralbes,43,30790.0,les corts
Vivo Tapas,4.7,13225.0,41.3951663,2.1596285,"Carrer del Rosselló, 255, Eixample, 08008 Barcelona, Spain","mediterranean_restaurant, bar, restaurant, point_of_interest, food, establishment",sarrià,80,28640.875,sarrià-sant gervasi
Guanabara,4.3,7170.0,41.3954748,2.1710722,"Carrer del Consell de Cent, 403, L'Eixample, 08009 Barcelona, Spain","brazilian_restaurant, restaurant, point_of_interest, food, establishment",les tres torres,206,33338.545454545456,sarrià-sant gervasi
Parking Pizza | Passeig Sant Joan,4.4,7226.0,41.396311,2.1741057,"Pg. de St. Joan, 56, L'Eixample, 08009 Barcelona, Spain","pizza_restaurant, italian_restaurant, restaurant, point_of_interest, food, establishment",el putxet i el farró,349,23638.736842105263,sarrià-sant gervasi
Alice Secret Garden,3.9,4626.0,41.3902786,2.1708714,"Carrer de Pau Claris, 90, L'Eixample, 08010 Barcelona, Spain","brunch_restaurant, cafeteria, bar, restaurant, point_of_interest, food, establishment",vallcarca i els penitents,129,21755.545454545456,gràcia
CASA SEAT,4.3,3777.0,41.3966338,2.1585626,"Pg. de Gràcia, 109, Gràcia, 08008 Barcelona, Spain","cultural_landmark, cultural_center, car_dealer, restaurant, point_of_interest, food, store, establishment",el coll,215,16869.4,gràcia
Opium Barcelona Restaurant and Club,3.6,7847.0,41.3853365,2.1967534,"Pg. Marítim de la Barceloneta, 34, Ciutat Vella, 08003 Barcelona, Spain","night_club, bar, restaurant, point_of_interest, food, establishment",la salut,205,20674.4,gràcia
Pacha Barcelona,3.2,8552.0,41.3857442,2.1970635,"Carrer de Ramon Trias Fargas, 2, Ciutat Vella, 08005 Barcelona, Spain","night_club, bar, restaurant, point_of_interest, food, establishment",la vila de gràcia,375,19559.666666666668,gràcia
L'Ovella Negra | Marina,4.2,9083.0,41.3958581,2.1902418,"Carrer de Zamora, 78, Sant Martí, 08018 Barcelona, Spain","bar_and_grill, bar, restaurant, food, point_of_interest, establishment",el camp d'en grassot i gràcia nova,537,20501.48,gràcia
Maná 75,4.4,6600.0,41.368862,2.1882694,"Pg. de Joan de Borbó, 101, Ciutat Vella, 08039 Barcelona, Spain","mediterranean_restaurant, meal_delivery, food_delivery, spanish_restaurant, seafood_restaurant, event_venue, korean_restaurant, restaurant, point_of_interest, food, establishment",el baix guinardó,455,17954.63157894737,gràcia
Salamanca,4.0,29142.0,41.3786175,2.191189,"Carrer de Pepe Rubianes, 34, Ciutat Vella, 08003 Barcelona, Spain","seafood_restaurant, restaurant, point_of_interest, food, establishment",can baró,240,16608.85714285714,horta-guinardo
Arenas de Barcelona,4.2,66316.0,41.3763031,2.1493855,"Gran Via de les Corts Catalanes, 385, L'Eixample, 08015 Barcelona, Spain","shopping_mall, movie_theater, meal_takeaway, amusement_center, spanish_restaurant, supermarket, clothing_store, jewelry_store, grocery_store, food_store, restaurant, point_of_interest, food, store, establishment",el guinardó,282,17264.48,horta-guinardo
El Bosc de Les Fades,4.4,16495.0,41.3771786,2.1773874,"Passatge de la Banca, 7, Ciutat Vella, 08002 Barcelona, Spain","bar, coffee_shop, cafe, food_store, restaurant, point_of_interest, food, store, establishment",la font d'en fargues,144,20806.85714285714,horta-guinardo
Xurreria Laietana,4.7,3962.0,41.3864026,2.1756893,"Via Laietana, 46, Ciutat Vella, 08003 Barcelona, Spain","coffee_shop, cafe, breakfast_restaurant, dessert_shop, confectionery, food_store, restaurant, point_of_interest, food, store, establishment",el carmel,345,12861.5,horta-guinardo
Can Paixano,4.6,9242.0,41.3818137,2.1833746,"Carrer de la Reina Cristina, 7, Ciutat Vella, 08003 Barcelona, Spain","spanish_restaurant, bar, restaurant, point_of_interest, food, establishment",la teixonera,353,14003.375,horta-guinardo
Fàbrica Moritz Barcelona,4.2,13502.0,41.382674,2.1633522,"Rda. de Sant Antoni, 41, L'Eixample, 08011 Barcelona, Spain","bar, restaurant, point_of_interest, food, establishment",sant genís dels agudells,43,14680.6,horta-guinardo
McDonald's,3.6,3399.0,41.405,2.19089,"Avenida Diagonal, 188 Centro Comercial, Les Glories, Local 201, Sant Martí, 08018 Barcelona, Spain","fast_food_restaurant, restaurant, food, point_of_interest, establishment",montbau,25,16587.25,horta-guinardo
Bar del Pla,4.4,5263.0,41.385603,2.1800144,"Carrer de Montcada, 2, Ciutat Vella, 08003 Barcelona, Spain","mediterranean_restaurant, spanish_restaurant, bar, restaurant, point_of_interest, food, establishment",la vall d'hebron,79,18666.5,horta-guinardo
Hotel ILUNION Barcelona,4.2,3976.0,41.3990936,2.202111,"Carrer de Ramon Turró, 196, 198, Sant Martí, 08005 Barcelona, Spain","hotel, event_venue, lodging, restaurant, food, point_of_interest, establishment",la clota,39,16063.0,horta-guinardo
Xiringuito Escribà,4.2,8303.0,41.3935386,2.2053562,"Av. del Litoral, 62, Sant Martí, 08005 Barcelona, Spain","restaurant, mediterranean_restaurant, food, point_of_interest, establishment",horta,90,17006.809523809523,horta-guinardo
Sallès Hotel Pere IV,4.0,2478.0,41.3969121,2.1923528,"Carrer de Pallars, 128, Sant Martí, 08018 Barcelona, Spain","hotel, mediterranean_restaurant, massage, bar, sports_complex, gym, sports_activity_location, lodging, spa, health, restaurant, food, point_of_interest, establishment",vilapicina i la torre llobeta,455,16041.105263157897,nou barris
Hotel Best 4 Barcelona,4.0,1802.0,41.3960002,2.2008581,"Carrer del Doctor Trueta, 164, Sant Martí, 08005 Barcelona, Spain","hotel, parking, bar, lodging, restaurant, food, point_of_interest, establishment",porta,328,14412.666666666666,nou barris
Hotel Best Front Maritim Barcelona,3.8,1727.0,41.4037597,2.2137515,"Passeig de Garcia Fària, 69, Sant Martí, 08019 Barcelona, Spain","hotel, wedding_venue, parking, bar, sports_complex, gym, event_venue, sports_activity_location, lodging, health, restaurant, food, point_of_interest, establishment",el turó de la peira,452,12352.3,nou barris
LITTLE FERN,4.7,2496.0,41.4023437,2.1975263,"Carrer de Pere IV, 168, Sant Martí, 08005 Barcelona, Spain","brunch_restaurant, vegetarian_restaurant, breakfast_restaurant, coffee_shop, cafe, food_store, store, restaurant, food, point_of_interest, establishment",can peguera,186,11552.5,nou barris
Restaurant Hiro,4.1,1468.0,41.402228,2.1899743,"Carrer de Bolívia, 35-37-39, Sant Martí, 08018 Barcelona, Spain","japanese_restaurant, asian_restaurant, buffet_restaurant, sushi_restaurant, restaurant, food, point_of_interest, establishment",la guineueta,248,16115.0,nou barris
Can Fisher Restaurante playa Bogatell,4.2,4926.0,41.394642,2.206243,"Av. del Litoral, 64, Sant Martí, 08005 Barcelona, Spain","seafood_restaurant, mediterranean_restaurant, spanish_restaurant, bar, korean_restaurant, restaurant, food, point_of_interest, establishment",canyelles,86,15672.4,nou barris
Racó de la Vila,4.3,5840.0,41.3974007,2.1989328,"Carrer de la Ciutat de Granada, 33, Sant Martí, 08005 Barcelona, Spain","mediterranean_restaurant, spanish_restaurant, restaurant, food, point_of_interest, establishment",les roquetes,255,10987.6,nou barris
T.44 - TAULAT 44,4.5,834.0,41.398827,2.2050576000000004,"Carrer del Taulat, 44, Sant Martí, 08005 Barcelona, Spain","coffee_shop, dog_cafe, brunch_restaurant, cafe, food_store, store, restaurant, food, point_of_interest, establishment",verdun,537,11878.125,nou barris
Sonora Sport Tavern,4.1,4411.0,41.3978801,2.1899704,"Carrer de Pamplona, 96, Sant Martí, 08018 Barcelona, Spain","bar_and_grill, hamburger_restaurant, american_restaurant, bar, event_venue, restaurant, food, point_of_interest, establishment",la prosperitat,451,13356.2,nou barris
Xiroi,4.2,6477.0,41.3916389,2.203437,"Passeig Marítim de la Nova Icària, 38, Sant Martí, 08005 Barcelona, Spain","mediterranean_restaurant, spanish_restaurant, restaurant, food, point_of_interest, establishment",la trinitat nova,130,10805.4,nou barris
D9 al Poblenou,4.0,1861.0,41.3967953,2.1921232,"Carrer de Pallars, 122, Sant Martí, 08016 Barcelona, Spain","hamburger_restaurant, american_restaurant, bar, restaurant, food, point_of_interest, establishment",torre baró,17,10069.5,nou barris
Honest Greens Westfield Glòries,4.4,1607.0,41.4051122,2.1922727,"Av. Diagonal, 208, Sant Martí, 08018 Barcelona, Spain","restaurant, mediterranean_restaurant, vegan_restaurant, vegetarian_restaurant, food, point_of_interest, establishment",ciutat meridiana,293,9271.333333333334,nou barris
La Marea,4.7,4652.0,41.4016592,2.2109466,"Passeig de Garcia Fària, 33, Sant Martí, 08005 Barcelona, Spain","seafood_restaurant, restaurant, food, point_of_interest, establishment",vallbona,23,10461.0,nou barris
Blu Bar,4.4,4154.0,41.3983872,2.2045558,"Rambla del Poblenou, 11, Sant Martí, 08005 Barcelona, Spain","vegan_restaurant, vegetarian_restaurant, pizza_restaurant, bar, restaurant, food, point_of_interest, establishment",la trinitat vella,128,10608.2,sant andreu
Tierra Burrito Bar,4.4,1198.0,41.401899,2.1885927,"Carrer d'Àvila, 171, Sant Martí, 08018 Barcelona, Spain","american_restaurant, restaurant, food, point_of_interest, establishment",baró de viver,115,10765.5,sant andreu
