name,rating,reviews,lat,lng,address,types
Salamanca,4.0,29142,41.3786175,2.191189,"Carrer de Pepe Rubianes, 34, Ciutat Vella, 08003 Barcelona, Spain","seafood_restaurant, restaurant, point_of_interest, food, establishment"
Arenas de Barcelona,4.2,66316,41.3763031,2.1493854999999997,"Gran Via de les Corts Catalanes, 385, L'Eixample, 08015 Barcelona, Spain","shopping_mall, movie_theater, meal_takeaway, amusement_center, spanish_restaurant, supermarket, clothing_store, jewelry_store, grocery_store, food_store, restaurant, point_of_interest, food, store, establishment"
El Bosc de Les Fades,4.4,16495,41.3771786,2.1773873999999998,"Passatge de la Banca, 7, Ciutat Vella, 08002 Barcelona, Spain","bar, coffee_shop, cafe, food_store, restaurant, point_of_interest, food, store, establishment"
Xurreria Laietana,4.7,3962,41.3864026,2.1756892999999997,"Via Laietana, 46, Ciutat Vella, 08003 Barcelona, Spain","coffee_shop, cafe, breakfast_restaurant, dessert_shop, confectionery, food_store, restaurant, point_of_interest, food, store, establishment"
Can Paixano,4.6,9242,41.381813699999995,2.1833746,"Carrer de la Reina Cristina, 7, Ciutat Vella, 08003 Barcelona, Spain","spanish_restaurant, bar, restaurant, point_of_interest, food, establishment"
Fàbrica Moritz Barcelona,4.2,13502,41.382674,2.1633522,"Rda. de Sant Antoni, 41, L'Eixample, 08011 Barcelona, Spain","bar, restaurant, point_of_interest, food, establishment"
McDonald's,3.6,3399,41.405,2.19089,"Avenida Diagonal, 188 Centro Comercial, Les Glories, Local 201, Sant Martí, 08018 Barcelona, Spain","fast_food_restaurant, restaurant, food, point_of_interest, establishment"
Bar del Pla,4.4,5263,41.385602999999996,2.1800143999999997,"Carrer de Montcada, 2, Ciutat Vella, 08003 Barcelona, Spain","mediterranean_restaurant, spanish_restaurant, bar, restaurant, point_of_interest, food, establishment"
Hotel ILUNION Barcelona,4.2,3976,41.3990936,2.202111,"Carrer de Ramon Turró, 196, 198, Sant Martí, 08005 Barcelona, Spain","hotel, event_venue, lodging, restaurant, food, point_of_interest, establishment"
Xiringuito Escribà,4.2,8303,41.3935386,2.2053561999999998,"Av. del Litoral, 62, Sant Martí, 08005 Barcelona, Spain","restaurant, mediterranean_restaurant, food, point_of_interest, establishment"
Sallès Hotel Pere IV,4.0,2478,41.3969121,2.1923528,"Carrer de Pallars, 128, Sant Martí, 08018 Barcelona, Spain","hotel, mediterranean_restaurant, massage, bar, sports_complex, gym, sports_activity_location, lodging, spa, health, restaurant, food, point_of_interest, establishment"
Hotel Best 4 Barcelona,4.0,1802,41.396000199999996,2.2008581,"Carrer del Doctor Trueta, 164, Sant Martí, 08005 Barcelona, Spain","hotel, parking, bar, lodging, restaurant, food, point_of_interest, establishment"
Hotel Best Front Maritim Barcelona,3.8,1727,41.403759699999995,2.2137515,"Passeig de Garcia Fària, 69, Sant Martí, 08019 Barcelona, Spain","hotel, wedding_venue, parking, bar, sports_complex, gym, event_venue, sports_activity_location, lodging, health, restaurant, food, point_of_interest, establishment"
LITTLE FERN,4.7,2496,41.402343699999996,2.1975263,"Carrer de Pere IV, 168, Sant Martí, 08005 Barcelona, Spain","brunch_restaurant, vegetarian_restaurant, breakfast_restaurant, coffee_shop, cafe, food_store, store, restaurant, food, point_of_interest, establishment"
Restaurant Hiro,4.1,1468,41.402228,2.1899743,"Carrer de Bolívia, 35-37-39, Sant Martí, 08018 Barcelona, Spain","japanese_restaurant, asian_restaurant, buffet_restaurant, sushi_restaurant, restaurant, food, point_of_interest, establishment"
Can Fisher Restaurante playa Bogatell,4.2,4926,41.394642,2.2062429999999997,"Av. del Litoral, 64, Sant Martí, 08005 Barcelona, Spain","seafood_restaurant, mediterranean_restaurant, spanish_restaurant, bar, korean_restaurant, restaurant, food, point_of_interest, establishment"
Racó de la Vila,4.3,5840,41.3974007,2.1989327999999997,"Carrer de la Ciutat de Granada, 33, Sant Martí, 08005 Barcelona, Spain","mediterranean_restaurant, spanish_restaurant, restaurant, food, point_of_interest, establishment"
T.44 - TAULAT 44,4.5,834,41.398827,2.2050576000000004,"Carrer del Taulat, 44, Sant Martí, 08005 Barcelona, Spain","coffee_shop, dog_cafe, brunch_restaurant, cafe, food_store, store, restaurant, food, point_of_interest, establishment"
Sonora Sport Tavern,4.1,4411,41.397880099999995,2.1899704,"Carrer de Pamplona, 96, Sant Martí, 08018 Barcelona, Spain","bar_and_grill, hamburger_restaurant, american_restaurant, bar, event_venue, restaurant, food, point_of_interest, establishment"
Xiroi,4.2,6477,41.3916389,2.203437,"Passeig Marítim de la Nova Icària, 38, Sant Martí, 08005 Barcelona, Spain","mediterranean_restaurant, spanish_restaurant, restaurant, food, point_of_interest, establishment"
D9 al Poblenou,4.0,1861,41.3967953,2.1921231999999997,"Carrer de Pallars, 122, Sant Martí, 08016 Barcelona, Spain","hamburger_restaurant, american_restaurant, bar, restaurant, food, point_of_interest, establishment"
Honest Greens Westfield Glòries,4.4,1607,41.4051122,2.1922726999999997,"Av. Diagonal, 208, Sant Martí, 08018 Barcelona, Spain","restaurant, mediterranean_restaurant, vegan_restaurant, vegetarian_restaurant, food, point_of_interest, establishment"
La Marea,4.7,4652,41.4016592,2.2109465999999998,"Passeig de Garcia Fària, 33, Sant Martí, 08005 Barcelona, Spain","seafood_restaurant, restaurant, food, point_of_interest, establishment"
Blu Bar,4.4,4154,41.398387199999995,2.2045558,"Rambla del Poblenou, 11, Sant Martí, 08005 Barcelona, Spain","vegan_restaurant, vegetarian_restaurant, pizza_restaurant, bar, restaurant, food, point_of_interest, establishment"
Tierra Burrito Bar,4.4,1198,41.401899,2.1885927,"Carrer d'Àvila, 171, Sant Martí, 08018 Barcelona, Spain","american_restaurant, restaurant, food, point_of_interest, establishment"
